51300008943,gff,35,91
51300022190,fbc,67,96
51300068678,cdf,275,271
51300083793,bbe,50,243
51300085577,dac,115,192
51300128521,gac,210,283
51300153719,dbe,93,67
51300154261,gfc,112,83
51300182124,aee,49,93
51300226858,ffb,97,186
51300295485,fgc,103,62
51300312828,bcc,67,77
51300337522,ceb,268,245
51300348035,eag,90,21
51300362888,fcd,154,76
51300368918,ddf,137,236
51300407072,gaf,108,58
51300455846,ddb,61,116
51300519676,bdb,16,64
51300576173,fbb,4,233
51300601475,deg,219,130
51300617680,ead,274,283
51300634113,gcg,177,259
51300641743,ccg,48,65
51300650972,gaf,80,57
51300679767,abe,156,96
51300690869,fab,248,251
51300726893,ccg,279,70
51300759703,cfa,179,73
51300788630,bca,239,14
51300835419,ffb,162,189
51300882061,ffd,251,124
51300885283,gaf,164,54
51300958178,dab,135,109
51300982005,ged,46,149
51300985950,ega,83,37
51300993910,agg,134,6
51301026031,bbg,135,235
51301059299,ebb,204,113
51301088330,gfg,215,165
51301092424,abc,206,229
51301120412,dff,17,214
51301149755,dfg,291,156
51301169221,edg,46,147
51301215865,fae,88,132
51301266105,ffd,107,104
51301329058,beg,47,155
51301359472,eed,13,299
51301361144,eaa,285,159
51301409897,fdd,147,133
51301453050,edc,22,16
51301458683,ebb,171,100
51301484543,gbc,260,108
51301495700,afa,100,71
51301513946,dgc,86,199
51301516782,fca,289,38
51301573873,caa,49,210
51301611033,dad,172,57
51301633536,bdg,9,166
51301643037,afb,136,121
51301677706,egg,114,276
51301727912,ggg,169,121
51301738948,cbd,155,262
51301757049,ace,49,228
51301787608,fgc,280,58
51301871504,egc,18,6
51301902168,cee,293,293
51301906832,adb,125,115
51301919487,aeg,199,293
51301928751,fgc,224,61
51301942675,feb,4,267
51301965232,bdd,277,107
51301982211,ebc,52,127
51301982511,aea,170,283
51301985257,aba,122,67
51302050470,dbf,261,264
51302066684,dfc,293,287
51302095641,afb,108,99
51302098025,bae,206,259
51302186311,fde,248,33
51302187529,add,119,33
51302216289,bbb,105,107
51302227455,bfa,91,202
51302247110,cbd,14,212
51302250548,bgc,190,46
51302255551,eff,84,187
51302311129,cbg,105,226
51302316478,ggb,42,89
51302330672,fdb,1,122
51302336843,agf,149,167
51302355634,bef,279,231
51302370164,gbd,150,94
51302380000,gaf,28,49
51302403243,cbd,112,235
51302432685,gfg,122,135
51302458280,bdg,100,159
51302466747,edd,167,86
51302476831,fba,288,282
51302500746,bec,13,186
51302512118,dff,20,241
51302523192,cba,107,145
51302545513,cca,105,165
51302611424,ddb,101,92
51302623290,faf,203,142
51302654275,cbd,72,227
51302676645,cba,95,155
51302688054,bba,52,139
51302694414,fac,272,204
51302707844,edd,227,74
51302719177,cbc,31,191
51302767251,abe,240,80
51302777529,cda,242,172
51302778398,fbb,61,228
51302796135,bcf,293,89
51302807558,edd,203,80
51302866313,bgd,12,13
51302870914,aga,105,163
51302884096,aeg,88,307
51302910748,cfc,48,240
51302922190,fea,93,161
51302951512,dac,150,168
51302958695,caa,297,245
51303007902,bda,168,252
51303009333,acc,147,227
51303012482,cgf,85,26
51303051698,dfg,81,124
51303094057,afd,16,92
51303146298,ddc,32,59
51303161731,adg,2,243
51303244601,adc,102,30
51303266645,dfc,24,269
51303288474,dba,4,238
51303314022,dbb,254,285
51303328750,dfe,149,74
51303346389,deb,27,99
51303355403,gga,196,83
51303403944,dgd,131,160
51303416871,age,215,19
51303447337,cdd,156,115
51303465014,fge,191,116
51303488976,ccg,24,65
51303515601,abf,45,192
51303536504,afc,172,59
51303543107,deb,195,109
51303593547,aec,16,191
51303607455,abg,214,129
51303628551,gdd,115,47
51303630971,ceb,61,220
51303671251,acc,63,240
51303689252,adg,171,240
51303702653,dff,182,281
51303707171,dff,264,292
51303715378,bfb,6,298
51303724221,dff,264,286
51303750194,bdf,65,123
51303776739,eeb,124,229
51303779301,gfd,37,33
51303791652,def,36,152
51303804558,fdc,6,104
51303881994,daf,92,295
51303888892,abd,83,299
51303903447,fcf,18,8
51303919787,gff,216,88
51303919969,dae,187,126
51303972475,ebf,71,259
51304031009,gdf,156,251
51304038111,deg,36,152
51304054270,gcc,296,141
51304078568,agg,210,5
51304085122,gga,220,80
51304095028,fdg,198,131
51304103295,gec,245,249
51304158332,cde,278,299
51304173461,dgd,206,128
51304187614,ebc,59,149
51304296017,bgb,124,169
51304301904,ffc,278,121
51304319310,ged,223,174
51304330336,ddd,119,98
51304341954,eeg,68,172
51304352667,bdd,239,112
51304353364,eaf,145,281
51304358949,aec,251,156
51304395736,aaf,110,292
51304396389,cfd,135,53
51304408808,gfb,293,298
51304413365,aae,253,219
51304421390,bee,59,234
51304444181,acd,168,131
51304452272,dca,292,149
51304454122,bff,57,120
51304500831,bag,135,213
51304518262,daa,2,92
51304532224,bfg,142,84
51304567205,bed,149,167
51304567931,aag,149,247
51304597313,ggf,219,73
51304613219,ffd,129,93
51304623064,ecf,30,267
51304684250,dfe,25,71
51304700696,ded,161,290
51304751533,fgc,179,55
51304753622,cac,114,238
51304756513,cbg,250,189
51304764433,fed,195,203
51304779103,baa,136,114
51304835280,aab,162,93
51304896947,fbg,99,275
51304918478,gfb,98,324
51304961366,eca,174,87
51304961383,gbf,299,13
51304961471,bfc,265,271
51304995022,bfg,58,99
51304997835,ace,75,182
51305050828,fgf,82,55
51305055176,caf,132,282
51305063432,dde,91,265
51305077664,bab,270,101
51305081014,gae,69,102
51305082432,gaa,80,119
51305106538,cdf,265,289
51305106831,aff,144,145
51305166060,eec,292,280
51305167631,egb,96,114
51305189035,ccc,105,96
51305190227,fac,24,230
51305205877,bdc,299,31
51305219240,ecb,170,65
51305222108,gfd,245,29
51305245162,ggd,88,57
51305254560,afa,2,61
51305278435,bgc,150,42
51305282850,cfc,253,208
51305314934,dea,145,253
51305315691,efa,162,124
51305321899,adf,48,7
51305337363,dea,239,301
51305338146,bbb,88,117
51305352969,fcd,193,76
51305373602,eee,42,264
51305380707,fca,180,39
51305383340,cfd,194,61
51305433906,cef,80,26
51305441951,adg,79,232
51305457931,dcb,79,150
51305469770,dad,38,61
51305483312,gaa,168,110
51305514325,bcg,3,89
51305520823,gbg,76,9
51305659475,fgd,71,243
51305677664,fbd,212,167
51305680659,eea,136,84
51305696683,dbg,248,283
51305710786,cfg,14,22
51305735612,fcc,279,197
51305738926,daf,60,262
51305756680,bcc,266,66
51305764567,ccd,145,292
51305766156,egg,230,262
51305784733,afc,141,54
51305792881,bbc,277,86
51305809136,bgg,213,227
51305812216,fga,229,201
51305813533,bbc,284,68
51305821074,dbf,15,295
51305824169,ddf,229,224
51305835087,adg,227,269
51305841434,bdc,40,25
51305855045,gba,180,159
51305863528,ddg,208,259
51305882586,eec,284,316
51305911085,gfb,4,356
51305923866,eec,84,376
51305953100,efc,92,168
51305953996,abd,258,266
51305964873,ada,24,76
51305979707,cba,88,136
51305986614,eff,6,213
51305999804,bdd,216,89
51306016935,eeg,6,189
51306018561,feg,94,61
51306020912,dcg,9,124
51306030141,gbb,4,110
51306040540,dbc,185,184
51306040620,ded,186,281
51306072928,cag,229,84
51306108055,cee,262,322
51306125675,acg,209,259
51306175875,eda,203,46
51306177066,fea,141,177
51306273830,def,9,139
51306310865,afd,47,82
51306314534,aad,140,27
51306317742,dde,163,310
51306332195,cbf,29,202
51306339805,dbb,89,310
51306349766,dde,1,325
51306362332,dff,37,234
51306402154,gca,59,203
51306444156,dgd,39,104
51306457731,agc,92,222
51306497831,cgd,36,49
51306507369,ecd,162,245
51306535174,age,155,21
51306541659,eac,236,83
51306556585,fec,131,162
51306578461,fga,88,178
51306606260,gee,5,242
51306608951,dfg,230,122
51306615742,beb,180,8
51306625420,cga,63,184
51306660094,gbe,83,26
51306666961,cga,268,204
51306667869,bdd,298,74
51306669606,add,218,33
51306672867,faa,106,63
51306673597,eag,47,19
51306683372,gcf,269,66
51306709320,gec,245,246
51306725180,gcg,15,284
51306745028,geb,45,219
51306757721,bef,128,254
51306765701,cfa,108,59
51306767055,bae,13,269
51306806106,aed,168,225
51306808940,bef,235,210
51306834080,cae,278,83
51306838836,fda,50,98
51306839092,bgb,134,160
51306851808,bgb,176,148
51306860244,gbb,203,123
51306881051,fgg,42,71
51306906635,afe,90,122
51306927398,fgc,16,51
51306934070,eba,147,183
51306940517,dce,152,41
51306953883,gag,60,123
51306954485,afb,91,99
51306981585,dgf,40,164
51306995815,cbb,35,36
51307005223,cbg,206,202
51307021827,efe,260,19
51307026489,ecd,282,196
51307034752,bea,35,39
51307040502,gfe,100,287
51307057244,ffe,235,120
51307144625,faf,228,139
51307144722,ecc,181,82
51307146164,aeb,166,268
51307167291,ebe,131,257
51307179429,efg,31,190
51307185580,acf,140,176
51307207621,gac,63,246
51307215779,egc,64,5
51307220141,fbe,273,132
51307235956,cdb,140,276
51307271034,bcf,159,97
51307373370,ced,164,54
51307382797,gga,131,88
51307411001,cad,72,205
51307413877,dcc,26,274
51307482256,ggb,278,96
51307493571,fga,257,210
51307493620,ceg,131,192
51307522557,cea,269,181
51307528427,aea,171,254
51307550752,ecf,128,248
51307568463,fca,105,31
51307582700,eae,175,296
51307597967,cab,55,141
51307601626,ebg,117,151
51307604497,cad,39,243
51307614795,bfd,221,119
51307618666,cbe,14,240
